0 [[51.54394397392719, -0.13657541223383646], [51.54400302883737, -0.13668308830025103]]
1 [[51.54942751909381, -0.13489069851077726], [51.54983885109801, -0.13483204018593872]]
2 [[51.517171854739075, -0.12760697187007378], [51.51711433047399, -0.12778077652849731]]
3 [[51.52055553056314, -0.10848402890516941], [51.52007081177981, -0.1083227029105759]]
4 [[51.52768940234813, -0.12022620717361467], [51.527727352632844, -0.11998461486912268]]
5 [[51.54421963830207, -0.14152901665733694], [51.544491125599784, -0.14151838125697627]]
6 [[51.53461007275734, -0.1404203506643956], [51.534436895573236, -0.14027705642386282]]
7 [[51.52659719020337, -0.12486685213179415], [51.52651511809054, -0.1250714671770649]]
8 [[51.53657345702062, -0.1339736998346645], [51.53680801561377, -0.13417048712128046]]
9 [[51.55028901139759, -0.14001115229898836], [51.55017884772857, -0.1400440759954216]]
10 [[51.52983471944847, -0.11848535002388874], [51.52986844921101, -0.11835281571813078]]
11 [[51.52816523828046, -0.12010369934442201], [51.52812642928231, -0.12029221135053854]]
12 [[51.52742874449702, -0.1282950741517055], [51.527315056054825, -0.12836908287939025]]
13 [[51.53067101789216, -0.12961303311345043], [51.53089788142514, -0.1298422836260876]]
14 [[51.53832049202318, -0.13792000601972682], [51.53819962978231, -0.13781732301949418]]
15 [[51.51987408049, -0.12385978868382773], [51.519775190410364, -0.12374731228205547]]
16 [[51.518990648222356, -0.1158700618459359], [51.518967359657935, -0.11606966761636542]]
17 [[51.51433346416378, -0.1277687208539382], [51.5143977199588, -0.12769782790873171]]
18 [[51.51693610057555, -0.1285881168767084], [51.51691373349367, -0.1286996477564349]]
19 [[51.52977294517282, -0.14162159607718042], [51.52996941390496, -0.14163887038278494]]
20 [[51.546510958529815, -0.14234921803454606], [51.54657577820754, -0.1431069788259424]]
21 [[51.53047968715068, -0.1329368018722323], [51.53077413551621, -0.13327057515928192]]
22 [[51.54953521226756, -0.13960640424854823], [51.5495410222995, -0.13967929339139068]]
23 [[51.52944326018819, -0.12833644293384608], [51.529310417378305, -0.12819541828095396]]
24 [[51.54705970356679, -0.15152756083385754], [51.546972169455124, -0.15147116699089455]]
25 [[51.521526983133995, -0.1210593376727266], [51.52138402918375, -0.12148684302231606]]
26 [[51.517587083383894, -0.13294415955228356], [51.517481346288136, -0.13311689662513038]]
27 [[51.54334519790975, -0.1723722297309219], [51.543913127436426, -0.17283849136507703]]
28 [[51.561741883132946, -0.15025369071446396], [51.56155685795472, -0.15046479677019434]]
29 [[51.54162201994302, -0.1368310244257559], [51.54167102601761, -0.13668912977522737]]
30 [[51.519133773528914, -0.11502164133305949], [51.519165959669856, -0.11488370759027776]]
31 [[51.519683601907396, -0.115944104426124], [51.519873064154744, -0.1160560122314537]]
32 [[51.53586610891079, -0.1429623932745856], [51.53552909196656, -0.14264609353874874]]
33 [[51.546226112404696, -0.16505573303286158], [51.54645437024658, -0.1648944574893443]]
34 [[51.51750574924569, -0.12902564673246916], [51.517551968806245, -0.12882130480509302]]
35 [[51.54812739095808, -0.13883353462011105], [51.548425419323344, -0.13876786238212108]]
36 [[51.54499849974411, -0.15829601345873492], [51.54481355506136, -0.15855461071845237]]
37 [[51.526225519223246, -0.11841714463307557], [51.526273986881186, -0.11845161923949628]]
38 [[51.525641392751886, -0.14308827108663583], [51.525638824292706, -0.1434997216351822]]
39 [[51.51858344895994, -0.13282770049817647], [51.51867880676462, -0.13260113940678445]]
40 [[51.51635159928862, -0.1212066173274848], [51.516469214645824, -0.12134654734513535]]
41 [[51.54795361255013, -0.1404903759937853], [51.54798597610042, -0.1410723422180875]]
42 [[51.56200875035937, -0.14886623984811534], [51.56204035302433, -0.14868071715355377]]
43 [[51.556544548308004, -0.16662205004092473], [51.55649779672378, -0.16660138591181453]]
44 [[51.52639853515213, -0.13525992545002558], [51.526322859124804, -0.1354724266137673]]
45 [[51.547274564911426, -0.1415224727924958], [51.546939709321094, -0.14162510419516686]]
