0 [51.54397350138228, -0.13662925026704376]
1 [51.549633185095914, -0.134861369348358]
2 [51.51714309260653, -0.12769387419928555]
3 [51.52031317117148, -0.10840336590787265]
4 [51.527708377490484, -0.12010541102136868]
5 [51.54435538195092, -0.1415236989571566]
6 [51.53452348416529, -0.1403487035441292]
7 [51.52655615414696, -0.12496915965442953]
8 [51.5366907363172, -0.1340720934779725]
9 [51.55023392956308, -0.140027614147205]
10 [51.52985158432974, -0.11841908287100976]
11 [51.52814583378138, -0.12019795534748028]
12 [51.527371900275924, -0.12833207851554787]
13 [51.530784449658654, -0.12972765836976902]
14 [51.53826006090274, -0.1378686645196105]
15 [51.51982463545018, -0.1238035504829416]
16 [51.518979003940146, -0.11596986473115066]
17 [51.51436559206129, -0.12773327438133497]
18 [51.516924917034615, -0.12864388231657164]
19 [51.52987117953889, -0.1416302332299827]
20 [51.546543368368674, -0.14272809843024423]
21 [51.53062691133344, -0.1331036885157571]
22 [51.54953811728353, -0.13964284881996947]
23 [51.52937683878325, -0.12826593060740002]
24 [51.54701593651096, -0.15149936391237606]
25 [51.52145550615887, -0.12127309034752133]
26 [51.51753421483602, -0.13303052808870697]
27 [51.543629162673085, -0.17260536054799946]
28 [51.56164937054383, -0.15035924374232915]
29 [51.541646522980315, -0.13676007710049165]
30 [51.519149866599385, -0.11495267446166862]
31 [51.51977833303107, -0.11600005832878885]
32 [51.535697600438674, -0.14280424340666717]
33 [51.54634024132564, -0.16497509526110293]
34 [51.51752885902597, -0.1289234757687811]
35 [51.54827640514071, -0.13880069850111607]
36 [51.54490602740273, -0.15842531208859364]
37 [51.52624975305221, -0.11843438193628592]
38 [51.525640108522296, -0.143293996360909]
39 [51.51863112786228, -0.13271441995248046]
40 [51.516410406967225, -0.12127658233631008]
41 [51.547969794325276, -0.14078135910593642]
42 [51.56202455169185, -0.14877347850083456]
43 [51.55652117251589, -0.16661171797636964]
44 [51.52636069713847, -0.13536617603189643]
45 [51.54710713711626, -0.14157378849383134]
46 [51.52070018521759, -0.11778561465280046]
47 [51.523634322452, -0.12677046232880756]
48 [51.53633506474397, -0.13822474823605002]
49 [51.54203833870182, -0.13864091900361386]
50 [51.51985691328551, -0.12113307372287699]
51 [51.54229331756156, -0.14504718646608855]
52 [51.54016551013955, -0.15920268547354002]
53 [51.520405695393805, -0.11158060488421546]
54 [51.522598191854996, -0.1262018216274086]
55 [51.53265993547638, -0.13570174831654291]
56 [51.55275740568168, -0.15787804284069612]
57 [51.517928213908164, -0.12176461852312359]
58 [51.518223770221425, -0.12208527372550415]
59 [51.5216479684821, -0.12204743521386739]
60 [51.56164438375228, -0.15041951012116808]
61 [51.55393878857244, -0.15491275153540873]
