0 [[51.54397350138228, -0.13662925026704376], 0.14583333333333334]
1 [[51.549633185095914, -0.134861369348358], 0.203125]
2 [[51.51714309260653, -0.12769387419928555], 0.19270833333333334]
3 [[51.52031317117148, -0.10840336590787265], 0.11979166666666667]
4 [[51.527708377490484, -0.12010541102136868], 0.07291666666666667]
5 [[51.54435538195092, -0.1415236989571566], 0.0]
6 [[51.53452348416529, -0.1403487035441292], 0.078125]
7 [[51.52655615414696, -0.12496915965442953], 0.25]
8 [[51.5366907363172, -0.1340720934779725], 0.078125]
9 [[51.55023392956308, -0.140027614147205], 0.036458333333333336]
10 [[51.52985158432974, -0.11841908287100976], 0.4010416666666667]
11 [[51.52814583378138, -0.12019795534748028], 0.0]
12 [[51.527371900275924, -0.12833207851554787], 0.13541666666666666]
13 [[51.530784449658654, -0.12972765836976902], 0.0625]
14 [[51.53826006090274, -0.1378686645196105], 0.0]
15 [[51.51982463545018, -0.1238035504829416], 0.11458333333333333]
16 [[51.518979003940146, -0.11596986473115066], 0.0]
17 [[51.51436559206129, -0.12773327438133497], 0.390625]
18 [[51.516924917034615, -0.12864388231657164], 0.11979166666666667]
19 [[51.52987117953889, -0.1416302332299827], 0.0]
20 [[51.546543368368674, -0.14272809843024423], 0.15104166666666666]
21 [[51.53062691133344, -0.1331036885157571], 0.2552083333333333]
22 [[51.54953811728353, -0.13964284881996947], 0.020833333333333332]
23 [[51.52937683878325, -0.12826593060740002], 0.0]
24 [[51.54701593651096, -0.15149936391237606], 0.3072916666666667]
25 [[51.52145550615887, -0.12127309034752133], 0.010416666666666666]
26 [[51.51753421483602, -0.13303052808870697], 0.109375]
27 [[51.543629162673085, -0.17260536054799946], 0.203125]
28 [[51.56164937054383, -0.15035924374232915], 0.0]
29 [[51.541646522980315, -0.13676007710049165], 0.041666666666666664]
30 [[51.519149866599385, -0.11495267446166862], 0.078125]
31 [[51.51977833303107, -0.11600005832878885], 0.041666666666666664]
32 [[51.535697600438674, -0.14280424340666717], 0.0]
33 [[51.54634024132564, -0.16497509526110293], 0.07291666666666667]
34 [[51.51752885902597, -0.1289234757687811], 0.0]
35 [[51.54827640514071, -0.13880069850111607], 0.06770833333333333]
36 [[51.54490602740273, -0.15842531208859364], 0.041666666666666664]
37 [[51.52624975305221, -0.11843438193628592], 0.109375]
38 [[51.525640108522296, -0.143293996360909], 0.06770833333333333]
39 [[51.51863112786228, -0.13271441995248046], 0.3333333333333333]
40 [[51.516410406967225, -0.12127658233631008], 0.16666666666666666]
41 [[51.547969794325276, -0.14078135910593642], 0.036458333333333336]
42 [[51.56202455169185, -0.14877347850083456], 0.0]
43 [[51.55652117251589, -0.16661171797636964], 0.0]
44 [[51.52636069713847, -0.13536617603189643], 0.052083333333333336]
45 [[51.54710713711626, -0.14157378849383134], 0.11458333333333333]
46 [[51.52070018521759, -0.11778561465280046], 0.3645833333333333]
47 [[51.523634322452, -0.12677046232880756], 0.2604166666666667]
48 [[51.53633506474397, -0.13822474823605002], 0.036458333333333336]
49 [[51.54203833870182, -0.13864091900361386], 0.13020833333333334]
50 [[51.51985691328551, -0.12113307372287699], 0.09375]
51 [[51.54229331756156, -0.14504718646608855], 0.171875]
52 [[51.54016551013955, -0.15920268547354002], 0.078125]
53 [[51.520405695393805, -0.11158060488421546], 0.3333333333333333]
54 [[51.522598191854996, -0.1262018216274086], 0.0]
55 [[51.53265993547638, -0.13570174831654291], 0.005208333333333333]
56 [[51.55275740568168, -0.15787804284069612], 0.0]
57 [[51.517928213908164, -0.12176461852312359], 0.140625]
58 [[51.518223770221425, -0.12208527372550415], 0.140625]
59 [[51.5216479684821, -0.12204743521386739], 0.13020833333333334]
60 [[51.56164438375228, -0.15041951012116808], 0.0]
61 [[51.55393878857244, -0.15491275153540873], 0.09895833333333333]
62 [[51.543808507363494, -0.13874511463373262], 0.036458333333333336]
63 [[51.55470480918132, -0.16583464397577202], 0.08333333333333333]
